action,landmark,variation,order,goal,task_id
open door to kitchen,False,13,0,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
go to kitchen,False,13,1,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
open door to outside,False,13,2,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
go to outside,False,13,3,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
focus on baby brown bear in outside,False,13,4,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,5,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,6,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,7,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,8,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,9,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,10,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,11,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,12,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
focus on juvenile brown bear in outside,False,13,13,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,14,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,15,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,16,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,17,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,18,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,19,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,20,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,21,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,13,22,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
focus on adult brown bear in outside,False,13,23,"Your task is to focus on the 3 life stages of the brown bear, starting from earliest to latest",task-7-identify-life-stages-1
