action,landmark,variation,order,goal,task_id
open door to hallway,False,6,0,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
go to hallway,False,6,1,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
open door to living room,False,6,2,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
go to living room,False,6,3,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
open door to hallway,False,6,4,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
go to hallway,False,6,5,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
open door to art studio,False,6,6,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
go to art studio,False,6,7,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
pour cup containing blue paint in art studio in jug,False,6,8,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
pour cup containing yellow paint in art studio in jug,False,6,9,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
mix jug,False,6,10,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
focus on green paint,True,6,11,Your task is to use chemistry to create green paint,task-5-chemistry-mix-paint-(secondary-color)
