action,landmark,variation,order,goal,task_id
open door to outside,False,19,0,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
go to outside,False,19,1,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
open door to kitchen,True,19,2,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
go to kitchen,True,19,3,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
open cupboard,True,19,4,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
pick up metal pot,False,19,5,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
pick up recipe,True,19,6,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
read recipe in inventory,True,19,7,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
pick up jam,True,19,8,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
move jam to metal pot,False,19,9,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
pick up bread,True,19,10,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
move bread to metal pot,False,19,11,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
examine metal pot,False,19,12,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
mix metal pot,False,19,13,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
focus on jam sandwhich,True,19,14,Your task is to use chemistry to create the substance 'jam sandwhich',task-5-chemistry-mix
