action,landmark,variation,order,goal,task_id
open door to hallway,True,12,0,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,12,1,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to workshop,True,12,2,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,12,3,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on electric motor,True,12,4,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up electric motor,True,12,5,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up solar panel,False,12,6,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up black wire,True,12,7,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up orange wire,True,12,8,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,12,9,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,12,10,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to green house,True,12,11,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to green house,True,12,12,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to outside,True,12,13,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to outside,True,12,14,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop electric motor,True,12,15,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop generator,True,12,16,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop black wire,True,12,17,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop component in inventory,False,12,18,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect solar panel anode to black wire terminal 1,False,12,19,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect solar panel cathode to orange wire terminal 1,False,12,20,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect black wire terminal 2 to cathode in electric motor,False,12,21,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect orange wire terminal 2 to anode in electric motor,False,12,22,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
