action,landmark,variation,order,goal,task_id
open door to hallway,False,1,0,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
go to hallway,False,1,1,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
open door to kitchen,False,1,2,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
go to kitchen,False,1,3,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
open door to outside,False,1,4,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
go to outside,False,1,5,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
focus on baby wolf in outside,False,1,6,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,7,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,8,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,9,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,10,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,11,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,12,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,13,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
focus on juvenile wolf in outside,False,1,14,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,15,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,16,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,17,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,18,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,19,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,20,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,21,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,22,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,1,23,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
focus on adult wolf in outside,False,1,24,"Your task is to focus on the 3 life stages of the wolf, starting from earliest to latest",task-7-identify-life-stages-1
