action,landmark,variation,order,goal,task_id
open door to kitchen,True,16,0,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
go to kitchen,True,16,1,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
open cupboard,True,16,2,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
pick up cup containing nothing in table,True,16,3,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
pick up recipe,True,16,4,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
read recipe in inventory,True,16,5,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
pick up chocolate,True,16,6,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
move chocolate to cup containing nothing in inventory,False,16,7,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
pick up marshmallow,True,16,8,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
move marshmallow to cup containing chocolate,False,16,9,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
examine cup containing chocolate and marshmallow,False,16,10,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
mix cup containing chocolate and marshmallow,False,16,11,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
focus on smores,True,16,12,Your task is to use chemistry to create the substance 'smores',task-5-chemistry-mix
