action,landmark,variation,order,goal,task_id
open door to workshop,True,4,0,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,4,1,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on green light bulb,True,4,2,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up green light bulb,True,4,3,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up solar panel,False,4,4,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up blue wire,False,4,5,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up red wire,True,4,6,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,4,7,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,4,8,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to kitchen,True,4,9,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to kitchen,True,4,10,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to outside,True,4,11,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to outside,True,4,12,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop green light bulb,True,4,13,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop generator,True,4,14,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop blue wire,False,4,15,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop component in inventory,True,4,16,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect solar panel anode to blue wire terminal 1,False,4,17,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect solar panel cathode to red wire terminal 1,False,4,18,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect blue wire terminal 2 to cathode in green light bulb,False,4,19,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect red wire terminal 2 to anode in green light bulb,False,4,20,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
wait1,True,4,21,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
