action,landmark,variation,order,goal,task_id
open door to kitchen,False,3,0,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to kitchen,False,3,1,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,3,2,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,3,3,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to workshop,True,3,4,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,3,5,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on red light bulb,True,3,6,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect nuclear generator anode to black wire terminal 1,False,3,7,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect nuclear generator cathode to blue wire terminal 1,False,3,8,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect black wire terminal 2 to cathode in red light bulb,False,3,9,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect blue wire terminal 2 to anode in red light bulb,False,3,10,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
activate nuclear generator,True,3,11,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
wait1,True,3,12,Your task is to turn on the red light bulb by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
