action,landmark,variation,order,goal,task_id
open cupboard,True,2,0,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
pick up tin cup,True,2,1,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
pick up recipe,True,2,2,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
read recipe in inventory,True,2,3,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
pick up peanut,True,2,4,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
move peanut to cup containing nothing in inventory,False,2,5,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
pick up almond,True,2,6,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
move almond to cup containing peanut,False,2,7,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
pick up cachew,True,2,8,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
move cachew to cup containing almond and peanut,False,2,9,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
examine cup containing almond and cachew and peanut,False,2,10,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
mix cup containing almond and cachew and peanut,False,2,11,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
focus on mixed nuts,True,2,12,Your task is to use chemistry to create the substance 'mixed nuts',task-5-chemistry-mix
