action,landmark,variation,order,goal,task_id
open door to workshop,True,0,0,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,0,1,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on red light bulb,True,0,2,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up red light bulb,True,0,3,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up solar panel,False,0,4,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up black wire,True,0,5,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up orange wire,False,0,6,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,0,7,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,0,8,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to green house,True,0,9,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to green house,True,0,10,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to outside,True,0,11,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to outside,True,0,12,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop light,True,0,13,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop generator,True,0,14,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop black wire,True,0,15,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop component in inventory,False,0,16,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect solar panel anode to black wire terminal 1,False,0,17,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect solar panel cathode to orange wire terminal 1,False,0,18,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect black wire terminal 2 to cathode in light,False,0,19,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect orange wire terminal 2 to anode in light,False,0,20,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
