action,landmark,variation,order,goal,task_id
open door to kitchen,True,17,0,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
go to kitchen,True,17,1,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
open cupboard,True,17,2,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
pick up cup containing nothing in table,False,17,3,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
pick up recipe,True,17,4,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
read recipe in inventory,True,17,5,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
pick up flour,True,17,6,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
move flour to cup containing nothing in inventory,False,17,7,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
move cup containing flour to sink,False,17,8,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
activate sink,True,17,9,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
deactivate sink,True,17,10,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
pick up cup containing flour and water,False,17,11,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
pour cup containing flour and water into cup containing flour and water,False,17,12,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
examine cup containing flour and water,False,17,13,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
mix cup containing flour and water,False,17,14,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
focus on dough,True,17,15,Your task is to use chemistry to create the substance 'dough',task-5-chemistry-mix
