action,landmark,variation,order,goal,task_id
open door to hallway,True,14,0,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,14,1,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to workshop,True,14,2,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,14,3,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on electric motor,True,14,4,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up electric motor,True,14,5,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up wind generator,False,14,6,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up orange wire,True,14,7,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up black wire,True,14,8,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,14,9,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,14,10,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to green house,True,14,11,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to green house,True,14,12,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to outside,True,14,13,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to outside,True,14,14,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop electric motor,True,14,15,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop generator,True,14,16,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop orange wire,False,14,17,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop black wire,True,14,18,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect wind generator anode to orange wire terminal 1,False,14,19,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect wind generator cathode to black wire terminal 1,False,14,20,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect orange wire terminal 2 to cathode in electric motor,False,14,21,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect black wire terminal 2 to anode in electric motor,False,14,22,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
wait1,False,14,23,Your task is to turn on the electric motor by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
