action,landmark,variation,order,goal,task_id
open door to hallway,False,10,0,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
go to hallway,False,10,1,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
open door to green house,False,10,2,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
go to green house,False,10,3,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
open door to outside,False,10,4,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
go to outside,False,10,5,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
focus on egg dove in outside,False,10,6,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,7,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,8,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,9,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,10,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,11,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,12,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,13,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
focus on hatchling dove in outside,False,10,14,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,15,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,16,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,17,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,18,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,19,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,20,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,21,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,22,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,23,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
focus on juvenile dove in outside,False,10,24,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,25,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,26,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,27,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,28,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,29,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,30,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,31,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,32,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,33,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,10,34,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
focus on adult dove in outside,False,10,35,"Your task is to focus on the 4 life stages of the dove, starting from earliest to latest",task-7-identify-life-stages-1
