action,landmark,plan_id,order,goal
open door to kitchen,True,17,0,Your task is to boil soap
go to kitchen,True,17,1,Your task is to boil soap
pick up thermometer,True,17,2,Your task is to boil soap
open cupboard,True,17,3,Your task is to boil soap
pick up metal pot,True,17,4,Your task is to boil soap
focus on soap in kitchen,False,17,5,Your task is to boil soap
move soap in kitchen to metal pot,False,17,6,Your task is to boil soap
pick up metal pot,True,17,7,Your task is to boil soap
move metal pot to stove,True,17,8,Your task is to boil soap
activate stove,True,17,9,Your task is to boil soap
pick up metal pot,True,17,10,Your task is to boil soap
open door to outside,True,17,11,Your task is to boil soap
go to outside,True,17,12,Your task is to boil soap
open door to foundry,True,17,13,Your task is to boil soap
go to foundry,True,17,14,Your task is to boil soap
open blast furnace,True,17,15,Your task is to boil soap
move metal pot to blast furnace,True,17,16,Your task is to boil soap
activate blast furnace,True,17,17,Your task is to boil soap
examine soap,False,17,18,Your task is to boil soap
use thermometer in inventory on soap,False,17,19,Your task is to boil soap
examine soap,False,17,20,Your task is to boil soap
use thermometer in inventory on soap,False,17,21,Your task is to boil soap
examine liquid soap,True,17,22,Your task is to boil soap
use thermometer in inventory on liquid soap,True,17,23,Your task is to boil soap
examine liquid soap,True,17,24,Your task is to boil soap
use thermometer in inventory on liquid soap,True,17,25,Your task is to boil soap
examine liquid soap,True,17,26,Your task is to boil soap
use thermometer in inventory on liquid soap,True,17,27,Your task is to boil soap
examine liquid soap,True,17,28,Your task is to boil soap
