action,landmark,variation,order,goal,task_id
open door to kitchen,False,13,0,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to kitchen,False,13,1,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,False,13,2,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,False,13,3,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to workshop,False,13,4,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,False,13,5,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on electric motor,True,13,6,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect nuclear generator anode to yellow wire terminal 1,False,13,7,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect nuclear generator cathode to red wire terminal 1,False,13,8,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect yellow wire terminal 2 to cathode in electric motor,False,13,9,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect red wire terminal 2 to anode in electric motor,False,13,10,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
activate nuclear generator,True,13,11,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
wait1,True,13,12,Your task is to turn on the electric motor by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
