action,landmark,variation,order,goal,task_id
open door to hallway,True,6,0,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,6,1,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to workshop,True,6,2,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,6,3,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on green light bulb,True,6,4,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up green light bulb,True,6,5,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up wind generator,False,6,6,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up red wire,True,6,7,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up green wire,False,6,8,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,6,9,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,6,10,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to kitchen,True,6,11,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to kitchen,True,6,12,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to outside,True,6,13,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to outside,True,6,14,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop green light bulb,True,6,15,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop generator,True,6,16,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop red wire,False,6,17,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop component in inventory,True,6,18,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect wind generator anode to red wire terminal 1,False,6,19,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect wind generator cathode to green wire terminal 1,False,6,20,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect red wire terminal 2 to cathode in green light bulb,False,6,21,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect green wire terminal 2 to anode in green light bulb,False,6,22,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
wait1,True,6,23,Your task is to turn on the green light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
