action,landmark,variation,order,goal,task_id
open door to kitchen,False,4,0,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
go to kitchen,False,4,1,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
open door to outside,False,4,2,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
go to outside,False,4,3,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
focus on egg common toad in outside,False,4,4,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,5,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,6,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,7,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,8,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,9,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,10,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,11,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,12,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
focus on tadpole common toad in outside,False,4,13,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,14,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,15,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,16,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,17,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,18,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,19,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,20,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,21,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,4,22,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
focus on adult common toad in outside,False,4,23,"Your task is to focus on the 3 life stages of the common toad, starting from earliest to latest",task-7-identify-life-stages-1
