action,landmark,variation,order,goal,task_id
open door to foundry,False,29,0,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
go to foundry,False,29,1,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
open door to outside,False,29,2,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
go to outside,False,29,3,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
open door to green house,False,29,4,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
go to green house,False,29,5,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
open door to hallway,False,29,6,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
go to hallway,False,29,7,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
open door to living room,False,29,8,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
go to living room,False,29,9,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
open door to hallway,False,29,10,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
go to hallway,False,29,11,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
open door to bedroom,False,29,12,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
go to bedroom,False,29,13,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
open door to hallway,False,29,14,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
go to hallway,False,29,15,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
open door to workshop,False,29,16,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
go to workshop,False,29,17,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
pour cup containing red paint in cup containing nothing,False,29,18,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
pour cup containing blue paint in cup containing red paint,False,29,19,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
mix cup containing blue paint and red paint,False,29,20,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
focus on paint in cup containing violet paint,False,29,21,Your task is to use chemistry to create violet paint,task-5-chemistry-mix-paint-(secondary-color)
