action,landmark,variation,order,goal,task_id
open door to kitchen,False,17,0,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to kitchen,False,17,1,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,17,2,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,17,3,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to workshop,True,17,4,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,17,5,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on buzzer,True,17,6,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect nuclear generator anode to blue wire terminal 1,False,17,7,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect nuclear generator cathode to yellow wire terminal 1,True,17,8,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect blue wire terminal 2 to cathode in buzzer,False,17,9,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect yellow wire terminal 2 to anode in buzzer,True,17,10,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
activate nuclear generator,True,17,11,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
wait1,True,17,12,Your task is to turn on the electric buzzer by powering it using a nonrenewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
