action,landmark,variation,order,goal,task_id
open door to hallway,False,5,0,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
go to hallway,False,5,1,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
open door to green house,False,5,2,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
go to green house,False,5,3,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
open door to outside,False,5,4,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
go to outside,False,5,5,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
focus on baby elephant in outside,False,5,6,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,7,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,8,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,9,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,10,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,11,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,12,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,13,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
focus on juvenile elephant in outside,False,5,14,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,15,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,16,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,17,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,18,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,19,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,20,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,21,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,22,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
wait1,False,5,23,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
focus on adult elephant in outside,False,5,24,"Your task is to focus on the 3 life stages of the elephant, starting from earliest to latest",task-7-identify-life-stages-1
