action,landmark,plan_id,order,goal
open door to kitchen,True,0,0,Your task is to boil water
go to kitchen,True,0,1,Your task is to boil water
pick up thermometer,True,0,2,Your task is to boil water
open cupboard,True,0,3,Your task is to boil water
pick up metal pot,True,0,4,Your task is to boil water
move metal pot to sink,True,0,5,Your task is to boil water
activate sink,True,0,6,Your task is to boil water
deactivate sink,True,0,7,Your task is to boil water
pick up metal pot,True,0,8,Your task is to boil water
focus on substance in metal pot,True,0,9,Your task is to boil water
pour metal pot into metal pot,True,0,10,Your task is to boil water
pick up metal pot,True,0,11,Your task is to boil water
move metal pot to stove,True,0,12,Your task is to boil water
activate stove,True,0,13,Your task is to boil water
examine substance in metal pot,True,0,14,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,0,15,Your task is to boil water
examine substance in metal pot,True,0,16,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,0,17,Your task is to boil water
examine substance in metal pot,True,0,18,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,0,19,Your task is to boil water
examine substance in metal pot,True,0,20,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,0,21,Your task is to boil water
examine substance in metal pot,True,0,22,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,0,23,Your task is to boil water
examine substance in metal pot,True,0,24,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,0,25,Your task is to boil water
examine substance in metal pot,True,0,26,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,0,27,Your task is to boil water
examine substance in metal pot,True,0,28,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,0,29,Your task is to boil water
examine substance in metal pot,True,0,30,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,0,31,Your task is to boil water
examine substance in metal pot,True,0,32,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,0,33,Your task is to boil water
open door to hallway,False,1,0,Your task is to boil water
go to hallway,False,1,1,Your task is to boil water
open door to kitchen,True,1,2,Your task is to boil water
go to kitchen,True,1,3,Your task is to boil water
pick up thermometer,True,1,4,Your task is to boil water
open cupboard,True,1,5,Your task is to boil water
pick up metal pot,True,1,6,Your task is to boil water
move metal pot to sink,True,1,7,Your task is to boil water
activate sink,True,1,8,Your task is to boil water
deactivate sink,True,1,9,Your task is to boil water
pick up metal pot,True,1,10,Your task is to boil water
focus on substance in metal pot,True,1,11,Your task is to boil water
pour metal pot into metal pot,True,1,12,Your task is to boil water
pick up metal pot,True,1,13,Your task is to boil water
move metal pot to stove,True,1,14,Your task is to boil water
activate stove,True,1,15,Your task is to boil water
pick up metal pot,True,1,16,Your task is to boil water
open door to outside,False,1,17,Your task is to boil water
go to outside,False,1,18,Your task is to boil water
open door to foundry,False,1,19,Your task is to boil water
go to foundry,False,1,20,Your task is to boil water
open blast furnace,False,1,21,Your task is to boil water
move metal pot to blast furnace,False,1,22,Your task is to boil water
activate blast furnace,False,1,23,Your task is to boil water
examine substance in metal pot,True,1,24,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,1,25,Your task is to boil water
examine substance in metal pot,True,1,26,Your task is to boil water
pick up thermometer,True,2,0,Your task is to boil water
open cupboard,True,2,1,Your task is to boil water
pick up metal pot,True,2,2,Your task is to boil water
move metal pot to sink,True,2,3,Your task is to boil water
activate sink,True,2,4,Your task is to boil water
deactivate sink,True,2,5,Your task is to boil water
pick up metal pot,True,2,6,Your task is to boil water
move metal pot to sink,True,2,7,Your task is to boil water
activate sink,True,2,8,Your task is to boil water
deactivate sink,True,2,9,Your task is to boil water
pick up metal pot,True,2,10,Your task is to boil water
open door to bathroom,False,2,11,Your task is to boil water
go to bathroom,False,2,12,Your task is to boil water
move metal pot to sink,True,2,13,Your task is to boil water
activate sink,True,2,14,Your task is to boil water
deactivate sink,True,2,15,Your task is to boil water
pick up metal pot,True,2,16,Your task is to boil water
focus on substance in metal pot,True,2,17,Your task is to boil water
pour metal pot into metal pot,True,2,18,Your task is to boil water
pick up metal pot,True,2,19,Your task is to boil water
open door to kitchen,True,2,20,Your task is to boil water
go to kitchen,True,2,21,Your task is to boil water
move metal pot to stove,True,2,22,Your task is to boil water
activate stove,True,2,23,Your task is to boil water
examine substance in metal pot,True,2,24,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,2,25,Your task is to boil water
examine substance in metal pot,True,2,26,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,2,27,Your task is to boil water
examine substance in metal pot,True,2,28,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,2,29,Your task is to boil water
examine substance in metal pot,True,2,30,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,2,31,Your task is to boil water
examine substance in metal pot,True,2,32,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,2,33,Your task is to boil water
examine substance in metal pot,True,2,34,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,2,35,Your task is to boil water
examine substance in metal pot,True,2,36,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,2,37,Your task is to boil water
examine substance in metal pot,True,2,38,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,2,39,Your task is to boil water
