action,landmark,variation,order,goal,task_id
open door to outside,False,6,0,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
go to outside,False,6,1,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
open door to kitchen,True,6,2,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
go to kitchen,True,6,3,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
open cupboard,True,6,4,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
pick up cup containing nothing in table,False,6,5,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
pick up recipe,True,6,6,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
read recipe in inventory,True,6,7,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
pick up peanut,True,6,8,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
move peanut to cup containing nothing in inventory,False,6,9,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
pick up bread,True,6,10,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
move bread to cup containing peanut,False,6,11,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
examine cup containing bread and peanut,False,6,12,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
mix cup containing bread and peanut,False,6,13,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
focus on peanut butter sandwhich,True,6,14,Your task is to use chemistry to create the substance 'peanut butter sandwhich',task-5-chemistry-mix
