action,landmark,variation,order,goal,task_id
open door to hallway,True,2,0,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,2,1,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to workshop,True,2,2,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to workshop,True,2,3,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
focus on red light bulb,True,2,4,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up red light bulb,True,2,5,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up wind generator,False,2,6,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up green wire,False,2,7,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
pick up black wire,True,2,8,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to hallway,True,2,9,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to hallway,True,2,10,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to green house,True,2,11,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to green house,True,2,12,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
open door to outside,True,2,13,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
go to outside,True,2,14,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop light,True,2,15,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop generator,True,2,16,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop green wire,False,2,17,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
drop black wire,True,2,18,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect wind generator anode to green wire terminal 1,False,2,19,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect wind generator cathode to black wire terminal 1,False,2,20,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect green wire terminal 2 to cathode in light,False,2,21,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
connect black wire terminal 2 to anode in light,False,2,22,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
wait1,False,2,23,Your task is to turn on the red light bulb by powering it using a renewable power source,task-2-power-component-(renewable-vs-nonrenewable-energy)
